[Thu Apr 07 14:10:55 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 14:14:53 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 14:29:39 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 14:29:40 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 14:32:44 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 14:33:03 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 14:56:47 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:04:33 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:05:05 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:07:33 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:08:05 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:08:20 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:08:30 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:22:55 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:23:20 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:23:47 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:31:35 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:31:47 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
[Thu Apr 07 15:32:23 2016]	[client: 10.23.201.105] [file: points.class.php] - Location ID: [LOCQD11456xCmMDI]	 Status: [Success]	 Response : [Valid]
