[Tue May 17 11:18:36 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Tue May 17 11:18:36 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]
[Tue May 17 11:30:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Tue May 17 11:30:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]
[Tue May 17 14:48:30 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Tue May 17 15:08:41 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Tue May 17 15:08:42 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Tue May 17 15:12:54 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Tue May 17 15:12:54 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]
[Tue May 17 15:16:58 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Tue May 17 15:16:59 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
