[Thu May 19 09:34:08 2016]	[client: 112.198.79.146] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Thu May 19 09:34:08 2016]	[client: 112.198.79.146] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]
[Thu May 19 11:18:41 2016]	[client: 112.198.90.120] [file: core.class.php] - [Device ID: 28BFA022-BE3C-46A2-8143-0E44CDC8366A, Platform: ios, PUSH ID: n7In7ucZ2a0:APA91bEQaC69am5VhRvnM3xP8BnSLLiKLug_f2YLSVaozgFgMkry2YM9qVOLQoZKHFZdwnN8oNoiqVTkr_yzgzTwPEW3Q58zWaNwzZ7YDYMQqYbNoXTS5nqLQyRXN7piv24SnitKqi49]	 Status: [Existing]
[Thu May 19 11:18:42 2016]	[client: 112.198.90.120] [file: core.class.php] - [Device ID: 28BFA022-BE3C-46A2-8143-0E44CDC8366A, Platform: ios, PUSH ID: n7In7ucZ2a0:APA91bEQaC69am5VhRvnM3xP8BnSLLiKLug_f2YLSVaozgFgMkry2YM9qVOLQoZKHFZdwnN8oNoiqVTkr_yzgzTwPEW3Q58zWaNwzZ7YDYMQqYbNoXTS5nqLQyRXN7piv24SnitKqi49]	 Status: [Existing]
[Thu May 19 11:46:23 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Thu May 19 11:46:25 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Thu May 19 12:15:13 2016]	[client: 112.198.79.146] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Thu May 19 12:15:14 2016]	[client: 112.198.79.146] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Thu May 19 13:49:31 2016]	[client: 112.198.79.146] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Thu May 19 13:49:32 2016]	[client: 112.198.79.146] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Thu May 19 15:05:38 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Thu May 19 15:05:39 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Thu May 19 22:17:36 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dxbjd_OPunA:APA91bF7mboaG_Cf6wb1BR00P4NEMVjAKoBUtv6fpExKe_zSTOZis1RIi3WJInZh9ITolBtYaYN1YxY9Z6EkBfZ_g1tHxxD-Dn1I_yIMDWOMMqkomdMf6MidYIK3t4TXPMuq7Y0C6Y-c]	 Status: [Existing]
[Thu May 19 22:17:41 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Thu May 19 22:17:41 2016]	[client: 120.28.99.62] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]
[Thu May 19 22:20:34 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Thu May 19 22:20:35 2016]	[client: 120.28.99.62] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]
