[Mon May 23 14:07:56 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Mon May 23 14:13:22 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Mon May 23 14:13:22 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]
[Mon May 23 14:22:18 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: l_s87_0kM9A:APA91bEsDdfQtHttQmzTVxayhlc-f53CP01auHPMnnC94Iz4vKIf2qX5gGMi3LcEN-2_slIGw99oHjCf4x99fxgK4QJi-p7rpT-YBelkQubtBoWFivL9FZ63p4nQs-qWVj-ZZxJTWlWS]	 Status: [Existing]
[Mon May 23 14:28:51 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Mon May 23 14:28:51 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]
[Mon May 23 14:29:04 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Mon May 23 14:29:04 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]
[Mon May 23 14:31:42 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: l_s87_0kM9A:APA91bEsDdfQtHttQmzTVxayhlc-f53CP01auHPMnnC94Iz4vKIf2qX5gGMi3LcEN-2_slIGw99oHjCf4x99fxgK4QJi-p7rpT-YBelkQubtBoWFivL9FZ63p4nQs-qWVj-ZZxJTWlWS]	 Status: [Existing]
[Mon May 23 14:31:42 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: l_s87_0kM9A:APA91bEsDdfQtHttQmzTVxayhlc-f53CP01auHPMnnC94Iz4vKIf2qX5gGMi3LcEN-2_slIGw99oHjCf4x99fxgK4QJi-p7rpT-YBelkQubtBoWFivL9FZ63p4nQs-qWVj-ZZxJTWlWS]
[Mon May 23 14:33:22 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kEu9kgsa3P0:APA91bGZDkI4iAtWiDwfdDJ0L-XAFV8rvgcHybaVlMX3EMNXhtpnx3M32GnrYvt0E-ZctJvsKSm9AtTIZ-_n9S7ViejbQCxOowxZY7_JmqRibDTO5Eap6jZFxIpNpHQuQHLivV0I3VDr]	 Status: [Existing]
[Mon May 23 14:47:49 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mWDEZj1XaqQ:APA91bFR6zrcncF6j1068NJJ6dHOvx2vaecNtWjAYT9r406lMA3L8fMCxZmiyIM5rEfvcElNv7nQ2KL2mIqgCXN-NC0BQM_7zc5WH_7KpQBo_jAB2CqTAD-MyLqqgF48RGE-olgj8Moh]	 Status: [Existing]
[Mon May 23 15:35:47 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mWDEZj1XaqQ:APA91bFR6zrcncF6j1068NJJ6dHOvx2vaecNtWjAYT9r406lMA3L8fMCxZmiyIM5rEfvcElNv7nQ2KL2mIqgCXN-NC0BQM_7zc5WH_7KpQBo_jAB2CqTAD-MyLqqgF48RGE-olgj8Moh]	 Status: [Existing]
[Mon May 23 16:59:08 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: mpZPrKYO3i8:APA91bFjL4b2sytU3Q81X3RdmAG8m5vblZtW5Epy5jTO40KaEvzM9GVWYo30i3gUcZkRIJCcn4gtIfEiueu6tZvP-Qpq70tMMI1ZmYhE4yT5F2yybtVhZS1yhMGo9Er_o-TlG-owVkOb]	 Status: [Existing]
[Mon May 23 17:02:46 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: nJ76a2etJjI:APA91bEBAtK5_RBEG6OWjvenGcTkOd9wbtrd0S8ROii5b-gKmjU2X4IWAUzJBp1PBSzT2WjfYfZkven_nMDB5Kve-82gNISMKSTekOXoChznK4I9xXbONbPlhw_YnJl1zznkUwMn9itZ]	 Status: [Existing]
[Mon May 23 17:06:53 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kC6H6DfTYyU:APA91bEI0Daz52vi55qdJZYcE7AmcRGYHX0rTFMgBXCaZMKOpotoE1G-Q0DiS1zdrjjaDK7u-KVw8sWp--p6LrXBmwRfz9kQwQe9KQUJOZf8p5sCEwPXg-uynNd-c4D3rmctPbaLbSq6]	 Status: [Existing]
[Mon May 23 17:09:30 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: n2rK09yYqR4:APA91bFi5iGfhLVqxRbRN7o9fCPULdNl_gJyAszqSI_TAnxjV7X95BHSF7YiyXrRMkfr66sqYHO-98ecxCtEMCh0B7KxwdqjJAzeoGG1RvUoi55X_N_2-Lz8yf0VzZ8cOp98mJGkzYqF]	 Status: [Existing]
[Mon May 23 17:14:28 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: nQEf6AZ5XaM:APA91bFXINV1-cjgzODRteTQjHhFT2SH9fAuaTyhZ5w0O1WXOQynXdNzjDjY8EBPm9CYAexWajR2EtN4v4-OSCefGpHRa-_Ue5YiRC3yCtGRb0WvJZEjPEk1thvTsHv6DcuG3ggLeKy-]	 Status: [Existing]
[Mon May 23 17:28:25 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kgL86ODzXeI:APA91bE0oAYpxvacbbqRLUFzl_fMXYDL95nw1hf9ytFZGw2-EMSLcQoUREGzVWSoT18cSFdkaJiTY2jz-IHHmdtsM_oR4yUEW0cdtuU7Fd3CqUQZZfOufYGJvtrcZVtUktauSkyb62nX]	 Status: [Existing]
[Mon May 23 17:31:23 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: l5rC5q1l-kw:APA91bFJfgXX_5DVztUJZb0Jrpwd9db1sez04QTkt3Q0d-xGTNAk8um0KCQ9NP624y3rDAlxxnu32z4qhYGncC3JvJynXELWe1ETIPZvrvV6nHGNcVdjoy52RFQBY9ky9e0k3SvTuvez]	 Status: [Existing]
[Mon May 23 17:36:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: l5rC5q1l-kw:APA91bFJfgXX_5DVztUJZb0Jrpwd9db1sez04QTkt3Q0d-xGTNAk8um0KCQ9NP624y3rDAlxxnu32z4qhYGncC3JvJynXELWe1ETIPZvrvV6nHGNcVdjoy52RFQBY9ky9e0k3SvTuvez]	 Status: [Existing]
[Mon May 23 17:36:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: l5rC5q1l-kw:APA91bFJfgXX_5DVztUJZb0Jrpwd9db1sez04QTkt3Q0d-xGTNAk8um0KCQ9NP624y3rDAlxxnu32z4qhYGncC3JvJynXELWe1ETIPZvrvV6nHGNcVdjoy52RFQBY9ky9e0k3SvTuvez]
[Mon May 23 17:40:23 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: l5rC5q1l-kw:APA91bFJfgXX_5DVztUJZb0Jrpwd9db1sez04QTkt3Q0d-xGTNAk8um0KCQ9NP624y3rDAlxxnu32z4qhYGncC3JvJynXELWe1ETIPZvrvV6nHGNcVdjoy52RFQBY9ky9e0k3SvTuvez]	 Status: [Existing]
[Mon May 23 17:40:23 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: l5rC5q1l-kw:APA91bFJfgXX_5DVztUJZb0Jrpwd9db1sez04QTkt3Q0d-xGTNAk8um0KCQ9NP624y3rDAlxxnu32z4qhYGncC3JvJynXELWe1ETIPZvrvV6nHGNcVdjoy52RFQBY9ky9e0k3SvTuvez]	 Status: [Existing]
[Mon May 23 17:42:32 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: n0DYVp3A3VI:APA91bFKZmrRgNkg3h6xyGtFc9s7YNqg8HdJ5r670vlSp7qfqnPRzJp30lVaUdQbtLcQieubTDp7wt9brx679-yckZ88TjgdHpN15-FbB-ZqRLXOFzkGPam6hdRVZZwA0GYycYZjY8xz]	 Status: [Existing]
[Mon May 23 17:47:07 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mWDEZj1XaqQ:APA91bFR6zrcncF6j1068NJJ6dHOvx2vaecNtWjAYT9r406lMA3L8fMCxZmiyIM5rEfvcElNv7nQ2KL2mIqgCXN-NC0BQM_7zc5WH_7KpQBo_jAB2CqTAD-MyLqqgF48RGE-olgj8Moh]	 Status: [Existing]
[Mon May 23 17:48:28 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: nUiYGmMuWQ0:APA91bEbyoVHArHSOBXYJGKz8dOczsUJH_eUPh5roYt-HcERJJJIGhBKz2MtDjt5JEU54L957fm0KZcwS2K6XvteoC5JcAZNWRnPLSIGSh8zOQriDmatXSQxe0hGQJ3kPl1JrZTNYft2]	 Status: [Existing]
[Mon May 23 17:48:28 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: nUiYGmMuWQ0:APA91bEbyoVHArHSOBXYJGKz8dOczsUJH_eUPh5roYt-HcERJJJIGhBKz2MtDjt5JEU54L957fm0KZcwS2K6XvteoC5JcAZNWRnPLSIGSh8zOQriDmatXSQxe0hGQJ3kPl1JrZTNYft2]
