[Wed May 25 01:48:38 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Wed May 25 10:13:26 2016]	[client: 112.198.98.251] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Wed May 25 10:13:27 2016]	[client: 112.198.98.251] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Wed May 25 11:15:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: cpm-Rubs5rA:APA91bH-9qmLeAtNCQShw10WU__IeUoRyidcp0CKkRmn4BtlPQPbmplmJma7mw___qGOL5-Aag4xiGcAL6qQ7nR2IKDuDMfdu0gjUQVGtoGMRHkBi2PTJvKkIoDOqBeumPVYNtqYIUuB]	 Status: [Existing]
[Wed May 25 11:44:50 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: eIL6YcQvEL0:APA91bGPpUQc2bgsyAaUHL-qa6uOZwFl7l5RnnQuIexb3mOd9JURJ-CFe4qR4DJlNH2kuJzy8hmlftYt-VVq-F0zWKZnJrYYac3KyVB5T7aVtRTONElQRXeZJy3r3ADm90PW29DCYqRC]	 Status: [Existing]
[Wed May 25 13:43:10 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Wed May 25 13:43:10 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]
[Wed May 25 14:24:28 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Wed May 25 14:24:28 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]
[Wed May 25 14:35:09 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: dYCAwle7Itw:APA91bGJ_OdhIqO04ncGbVbl2wbuhiG8JSHLExWc3Pduecw6ZVtYDiE8wjxl2UQnMXn7JgsH7O5Y1t7ZItGHreBpJPLtwRU723R6KTFWW90nZ6ttnr5rVc-XBzdCB8Bkyz805nyPC8vZ]	 Status: [Success]
[Wed May 25 14:54:04 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]	 Status: [Existing]
[Wed May 25 14:54:04 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kiWSii6fAqw:APA91bE51VszHmdNN39UfLmXTymLvf-JNd_J352_T7hoh3tegvw5k9QscxwF-Pm4yCrwnz0tbZK-P61JsujvmIu4m-k8vssUgImgbztAHfcb9Il6bcnYfZTzovh8eLrbRYiCvOC1I9D0]
[Wed May 25 15:45:48 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: eIL6YcQvEL0:APA91bGPpUQc2bgsyAaUHL-qa6uOZwFl7l5RnnQuIexb3mOd9JURJ-CFe4qR4DJlNH2kuJzy8hmlftYt-VVq-F0zWKZnJrYYac3KyVB5T7aVtRTONElQRXeZJy3r3ADm90PW29DCYqRC]	 Status: [Existing]
[Wed May 25 15:53:03 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
[Wed May 25 15:55:35 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: n8oomdj2-Eg:APA91bHe8MiJ_0Q-pIKJbHCPs28CjWvKVWTcXaNzSfl9o6Ks38G2wFJhCrvt5uDo0JIXZzU384dQCG0baNquhJJzJpRRFJlZbImuZuxsg8sLaBe7x4YPU5zcIuvE7XeV7zZN4yBEtpUH]	 Status: [Existing]
[Wed May 25 15:55:39 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: eIL6YcQvEL0:APA91bGPpUQc2bgsyAaUHL-qa6uOZwFl7l5RnnQuIexb3mOd9JURJ-CFe4qR4DJlNH2kuJzy8hmlftYt-VVq-F0zWKZnJrYYac3KyVB5T7aVtRTONElQRXeZJy3r3ADm90PW29DCYqRC]	 Status: [Existing]
[Wed May 25 15:55:43 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: n8oomdj2-Eg:APA91bHe8MiJ_0Q-pIKJbHCPs28CjWvKVWTcXaNzSfl9o6Ks38G2wFJhCrvt5uDo0JIXZzU384dQCG0baNquhJJzJpRRFJlZbImuZuxsg8sLaBe7x4YPU5zcIuvE7XeV7zZN4yBEtpUH]	 Status: [Existing]
[Wed May 25 15:56:15 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: n8oomdj2-Eg:APA91bHe8MiJ_0Q-pIKJbHCPs28CjWvKVWTcXaNzSfl9o6Ks38G2wFJhCrvt5uDo0JIXZzU384dQCG0baNquhJJzJpRRFJlZbImuZuxsg8sLaBe7x4YPU5zcIuvE7XeV7zZN4yBEtpUH]	 Status: [Existing]
[Wed May 25 15:56:15 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: n8oomdj2-Eg:APA91bHe8MiJ_0Q-pIKJbHCPs28CjWvKVWTcXaNzSfl9o6Ks38G2wFJhCrvt5uDo0JIXZzU384dQCG0baNquhJJzJpRRFJlZbImuZuxsg8sLaBe7x4YPU5zcIuvE7XeV7zZN4yBEtpUH]
[Wed May 25 15:58:15 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
