[Thu May 26 10:25:09 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFXhTXtxBoiWIxX2pC4HeTWi0XCeSz-2pklwkjKof67Ayp_zmCeKbnB3oJWvf62L_Ec5DKXpCwEGS-o_tNqnRfPz_1tDk80Ie-8FxUYY2iKWIpiIwq5yhKsCzDj5oy5qBc8HKmz]	 Status: [Existing]
[Thu May 26 10:58:02 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mXTrR6iSb-g:APA91bElqcMaLjAm0Tb07K7QMSlFaC-gxNnVhYcDSvBsdQW1zpFm-FzU7kDAnw8BeU3Wq4AR_opK9AGAyK0JhMN2Q3JoWse4dMRUCBKxs6W1aoQcZxNyV1yfPcDkqDPtG-yEFFVDGJaq]	 Status: [Existing]
[Thu May 26 10:58:02 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mXTrR6iSb-g:APA91bElqcMaLjAm0Tb07K7QMSlFaC-gxNnVhYcDSvBsdQW1zpFm-FzU7kDAnw8BeU3Wq4AR_opK9AGAyK0JhMN2Q3JoWse4dMRUCBKxs6W1aoQcZxNyV1yfPcDkqDPtG-yEFFVDGJaq]
[Thu May 26 12:24:00 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 12:32:23 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 12:35:06 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 12:35:40 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:26:55 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:29:04 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:31:42 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:31:49 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:32:28 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:32:41 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:33:07 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:33:56 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
[Thu May 26 13:34:24 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fFxJcjkeMCg:APA91bGvQuufCwwFSs0vmZOGzIHsQAmpY5jir-4fLwZQm3FydYh8ja8rF_mC4rgZwJoCWd4m7RhB0x-pvkhJcYcxYZQZ3stLVdgAcfivZfWRnIyK48A3HMvpXLuvE8MYyUtvZkYkievF]	 Status: [Existing]
