[Mon May 30 13:39:57 2016]	[client: 112.198.79.203] [file: core.class.php] - [Device ID: 78B3B4B6-CAC8-46D9-A995-DA3719F02734, Platform: ios, PUSH ID: mMjcJorVTYU:APA91bE0En_flIfoRAbygLZ5g0edQuZltnhBTlIU57vFEtcplpD42uYIOxBcbXGa_qo41AaxWdQE589R965vLjrAn3F6C3bdb4yrhidA7DYR-LfpFvWWwGQx5HcSjPEhqnHdIzT1XvKA]	 Status: [Existing]
[Mon May 30 13:53:03 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Mon May 30 13:53:03 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]
[Mon May 30 14:10:06 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]	 Status: [Existing]
[Mon May 30 14:10:08 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]	 Status: [Existing]
[Mon May 30 14:11:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]	 Status: [Existing]
[Mon May 30 14:11:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: lbH8mxp3UoI:APA91bHkyZ_hB8zKSx8slb45m2v8LF0ZwKbrFHcMqWiMHQLh35WiX_FUXOy49CQJCUeObrQfMbfJXm_GN9q7teM-jlktvJE5z8W8uEms2Qy7t6QBeU1WnsEEWPuYuvPQlO7bR8K9_Vph]
[Mon May 30 14:50:54 2016]	[client: 121.54.44.172] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Success]
[Mon May 30 14:59:05 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Mon May 30 15:32:49 2016]	[client: 58.71.95.2] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Existing]
[Mon May 30 16:32:09 2016]	[client: 58.71.95.2] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Existing]
[Mon May 30 20:21:28 2016]	[client: 121.54.44.169] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Existing]
[Mon May 30 20:53:15 2016]	[client: 130.105.224.203] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Mon May 30 20:53:15 2016]	[client: 130.105.224.203] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]
