[Thu Jun 02 00:31:27 2016]	[client: 112.198.101.83] [file: core.class.php] - [Device ID: 78B3B4B6-CAC8-46D9-A995-DA3719F02734, Platform: ios, PUSH ID: mMjcJorVTYU:APA91bE0En_flIfoRAbygLZ5g0edQuZltnhBTlIU57vFEtcplpD42uYIOxBcbXGa_qo41AaxWdQE589R965vLjrAn3F6C3bdb4yrhidA7DYR-LfpFvWWwGQx5HcSjPEhqnHdIzT1XvKA]	 Status: [Existing]
[Thu Jun 02 13:12:21 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 13:16:00 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 13:21:09 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Thu Jun 02 13:21:42 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 13:39:05 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 13:39:33 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 13:55:43 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 14:01:49 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 14:05:41 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 14:07:52 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 14:10:39 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 14:20:06 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 14:26:25 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 14:35:01 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 14:50:16 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFksxEofVndz7MjoOGC4rG6TBJEpnbbR3xo4Bh5liiTgKzfZg587_SF8iaAhhudVc4_zkK0hettO-NX4wZS718je_D1hZ7dycL10UJui07qW-LCVqIwSdbgWRzUOaEJzzonbb6s]	 Status: [Existing]
[Thu Jun 02 15:57:00 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:40:13 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:42:04 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:43:53 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:47:21 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:49:21 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:49:58 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:50:46 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:51:42 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 16:51:56 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
