[Tue Jun 07 10:04:20 2016]	[client: 121.54.54.55] [file: core.class.php] - [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]	 Status: [Existing]
[Tue Jun 07 10:04:21 2016]	[client: 121.54.54.55] [file: core.class.php] - [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]	 Status: [Existing]
[Tue Jun 07 10:48:35 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: BBD36BCA-C888-4B2B-8FD4-608512579BAF, Platform: ios, PUSH ID: mU3PTG5Jhzg:APA91bF9CaD9gQe1O8MIBOM2rKgr4MnQhsJZF3m_VutI6_kMxg4Uckt9tHfBg4Z65VRPayu8x9iivQib77jubTQ2R6Em7yLEnrHlRvUAvP9XU5V829U5_4yckiOorj2CAN2DPrOdjpus]	 Status: [Existing]
[Tue Jun 07 10:48:36 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: BBD36BCA-C888-4B2B-8FD4-608512579BAF, Platform: ios, PUSH ID: mU3PTG5Jhzg:APA91bF9CaD9gQe1O8MIBOM2rKgr4MnQhsJZF3m_VutI6_kMxg4Uckt9tHfBg4Z65VRPayu8x9iivQib77jubTQ2R6Em7yLEnrHlRvUAvP9XU5V829U5_4yckiOorj2CAN2DPrOdjpus]	 Status: [Existing]
[Tue Jun 07 11:00:04 2016]	[client: 121.54.54.173] [file: core.class.php] - [Device ID: 315397c77e7bd466, Platform: android, PUSH ID: czaCVv1hrZ4:APA91bF6m3Fe1Xdpctl8iVesqtGiOb2BqmuI1zy2ZwB_WBTxH-Uw6cZgQ7wcN5ZqdVfxRdLSAhK9jSQyZfPBgLm3GD8JToMgxWZzVKc08S1aWwnKWcdaNFfoKS6XNxi5Aa5-e3AK7P5F]	 Status: [Existing]
[Tue Jun 07 11:00:06 2016]	[client: 121.54.54.173] [file: core.class.php] - [Device ID: 315397c77e7bd466, Platform: android, PUSH ID: czaCVv1hrZ4:APA91bF6m3Fe1Xdpctl8iVesqtGiOb2BqmuI1zy2ZwB_WBTxH-Uw6cZgQ7wcN5ZqdVfxRdLSAhK9jSQyZfPBgLm3GD8JToMgxWZzVKc08S1aWwnKWcdaNFfoKS6XNxi5Aa5-e3AK7P5F]	 Status: [Existing]
[Tue Jun 07 11:48:50 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Tue Jun 07 12:26:35 2016]	[client: 203.87.156.166] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Tue Jun 07 12:26:35 2016]	[client: 203.87.156.166] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]
[Tue Jun 07 12:41:33 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Tue Jun 07 12:41:33 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]
