[Mon Jun 13 10:56:11 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Mon Jun 13 10:57:19 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Mon Jun 13 10:57:20 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Mon Jun 13 10:57:21 2016]	[client: 112.198.90.201] [file: core.class.php] - [Device ID: 8FDB2489-0B37-4223-AC62-74460DC9A602, Platform: ios, PUSH ID: n-LaoA_DNQ8:APA91bEbs8S6Ga3rKVrBK6Q-VfSCLj7NvzsmM4DWOjoIISPiWMTUKuhE46dUhAp5j2RFo9aheRb0zjDCuKqM5thXSwBsEpvS65JJp9ugXnbziPI-QYM5LtjW72hb7TlYOK3GlDzRmnSL]	 Status: [Existing]
[Mon Jun 13 10:57:22 2016]	[client: 112.198.90.201] [file: core.class.php] - [Device ID: 8FDB2489-0B37-4223-AC62-74460DC9A602, Platform: ios, PUSH ID: n-LaoA_DNQ8:APA91bEbs8S6Ga3rKVrBK6Q-VfSCLj7NvzsmM4DWOjoIISPiWMTUKuhE46dUhAp5j2RFo9aheRb0zjDCuKqM5thXSwBsEpvS65JJp9ugXnbziPI-QYM5LtjW72hb7TlYOK3GlDzRmnSL]	 Status: [Existing]
[Mon Jun 13 10:57:57 2016]	[client: 112.198.90.201] [file: core.class.php] - [Device ID: 8FDB2489-0B37-4223-AC62-74460DC9A602, Platform: ios, PUSH ID: n-LaoA_DNQ8:APA91bEbs8S6Ga3rKVrBK6Q-VfSCLj7NvzsmM4DWOjoIISPiWMTUKuhE46dUhAp5j2RFo9aheRb0zjDCuKqM5thXSwBsEpvS65JJp9ugXnbziPI-QYM5LtjW72hb7TlYOK3GlDzRmnSL]	 Status: [Existing]
[Mon Jun 13 10:57:57 2016]	[client: 112.198.90.201] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 8FDB2489-0B37-4223-AC62-74460DC9A602, Platform: ios, PUSH ID: n-LaoA_DNQ8:APA91bEbs8S6Ga3rKVrBK6Q-VfSCLj7NvzsmM4DWOjoIISPiWMTUKuhE46dUhAp5j2RFo9aheRb0zjDCuKqM5thXSwBsEpvS65JJp9ugXnbziPI-QYM5LtjW72hb7TlYOK3GlDzRmnSL]
[Mon Jun 13 10:58:28 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: BBD36BCA-C888-4B2B-8FD4-608512579BAF, Platform: ios, PUSH ID: mU3PTG5Jhzg:APA91bF9CaD9gQe1O8MIBOM2rKgr4MnQhsJZF3m_VutI6_kMxg4Uckt9tHfBg4Z65VRPayu8x9iivQib77jubTQ2R6Em7yLEnrHlRvUAvP9XU5V829U5_4yckiOorj2CAN2DPrOdjpus]	 Status: [Existing]
[Mon Jun 13 10:58:31 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: BBD36BCA-C888-4B2B-8FD4-608512579BAF, Platform: ios, PUSH ID: mU3PTG5Jhzg:APA91bF9CaD9gQe1O8MIBOM2rKgr4MnQhsJZF3m_VutI6_kMxg4Uckt9tHfBg4Z65VRPayu8x9iivQib77jubTQ2R6Em7yLEnrHlRvUAvP9XU5V829U5_4yckiOorj2CAN2DPrOdjpus]	 Status: [Existing]
[Mon Jun 13 13:03:16 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
[Mon Jun 13 13:03:17 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: kNg7glJaBDs:APA91bHvDBaNVc2bFUCjasGwICUZijppYM1nVN2kN_fpwK3UGFomNrRQ-Gzroiim4WMfZ-aHjcG-svdLvTdAnwf9_MkhQab1z-q7kF8kIwjS7PjWhYy-_YyPTVMagL5GEXb5Y1jeDhG2]	 Status: [Existing]
