[Thu Jun 16 13:15:55 2016]	[client: 112.198.82.47] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Thu Jun 16 13:15:55 2016]	[client: 112.198.82.47] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]
[Thu Jun 16 13:37:12 2016]	[client: 112.198.79.204] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Thu Jun 16 13:37:12 2016]	[client: 112.198.79.204] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]
[Thu Jun 16 15:18:46 2016]	[client: 112.198.79.204] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Thu Jun 16 15:18:47 2016]	[client: 112.198.79.204] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Thu Jun 16 17:14:00 2016]	[client: 112.198.77.154] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Thu Jun 16 17:14:01 2016]	[client: 112.198.77.154] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Thu Jun 16 17:29:18 2016]	[client: 112.198.82.74] [file: core.class.php] - [Device ID: 78B3B4B6-CAC8-46D9-A995-DA3719F02734, Platform: ios, PUSH ID: mMjcJorVTYU:APA91bE0En_flIfoRAbygLZ5g0edQuZltnhBTlIU57vFEtcplpD42uYIOxBcbXGa_qo41AaxWdQE589R965vLjrAn3F6C3bdb4yrhidA7DYR-LfpFvWWwGQx5HcSjPEhqnHdIzT1XvKA]	 Status: [Existing]
[Thu Jun 16 17:29:19 2016]	[client: 112.198.82.74] [file: core.class.php] - [Device ID: 78B3B4B6-CAC8-46D9-A995-DA3719F02734, Platform: ios, PUSH ID: mMjcJorVTYU:APA91bE0En_flIfoRAbygLZ5g0edQuZltnhBTlIU57vFEtcplpD42uYIOxBcbXGa_qo41AaxWdQE589R965vLjrAn3F6C3bdb4yrhidA7DYR-LfpFvWWwGQx5HcSjPEhqnHdIzT1XvKA]	 Status: [Existing]
[Thu Jun 16 23:45:21 2016]	[client: 112.198.83.109] [file: core.class.php] - [Device ID: 47AC25CC-38C2-4B5E-874B-BA23CA33CD0F, Platform: ios, PUSH ID: niYs5EJb32Q:APA91bHDqBt180eu7UuA1M1_jJmtL6z8QgkKZPrZXrwmwlGeoW0GnJsrubngYIgj0T3DL7eX7cV4a_p64Cfi-uw6ieDo7jJyuQc96wZQR_NhLXomQTsoadLqukWv6DC9v6fQrFf3p1RZ]	 Status: [Existing]
[Thu Jun 16 23:45:22 2016]	[client: 112.198.83.109] [file: core.class.php] - [Device ID: 47AC25CC-38C2-4B5E-874B-BA23CA33CD0F, Platform: ios, PUSH ID: niYs5EJb32Q:APA91bHDqBt180eu7UuA1M1_jJmtL6z8QgkKZPrZXrwmwlGeoW0GnJsrubngYIgj0T3DL7eX7cV4a_p64Cfi-uw6ieDo7jJyuQc96wZQR_NhLXomQTsoadLqukWv6DC9v6fQrFf3p1RZ]	 Status: [Existing]
