[Fri Jun 17 08:28:35 2016]	[client: 121.54.44.154] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Existing]
[Fri Jun 17 12:09:05 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFksxEofVndz7MjoOGC4rG6TBJEpnbbR3xo4Bh5liiTgKzfZg587_SF8iaAhhudVc4_zkK0hettO-NX4wZS718je_D1hZ7dycL10UJui07qW-LCVqIwSdbgWRzUOaEJzzonbb6s]	 Status: [Existing]
[Fri Jun 17 14:17:45 2016]	[client: 121.54.44.157] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Existing]
[Fri Jun 17 15:00:49 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFksxEofVndz7MjoOGC4rG6TBJEpnbbR3xo4Bh5liiTgKzfZg587_SF8iaAhhudVc4_zkK0hettO-NX4wZS718je_D1hZ7dycL10UJui07qW-LCVqIwSdbgWRzUOaEJzzonbb6s]	 Status: [Existing]
[Fri Jun 17 15:00:53 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]	 Status: [Existing]
[Fri Jun 17 15:00:53 2016]	[client: 120.28.99.62] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]
[Fri Jun 17 15:02:48 2016]	[client: 121.54.54.186] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Fri Jun 17 15:03:18 2016]	[client: 121.54.54.186] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Fri Jun 17 15:03:18 2016]	[client: 121.54.54.186] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Fri Jun 17 15:06:20 2016]	[client: 121.54.44.157] [file: core.class.php] - [Device ID: ef6d17547f07ae4a, Platform: android, PUSH ID: eoTjlv-J0j0:APA91bGrh9LJD1FnLQWzGwZUaRFecMR3Fw2IS5LwlOGHg-oxMDXwpbksJBAxFtcelK6plQiFATFm5jnD5YtUGCMaxpQKXNNjLsV7lvbQ5fLqcXhi_W2pfTgwEeGBCKFM0ZMm71k3iW8y]	 Status: [Existing]
[Fri Jun 17 15:17:49 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: BBD36BCA-C888-4B2B-8FD4-608512579BAF, Platform: ios, PUSH ID: mU3PTG5Jhzg:APA91bF9CaD9gQe1O8MIBOM2rKgr4MnQhsJZF3m_VutI6_kMxg4Uckt9tHfBg4Z65VRPayu8x9iivQib77jubTQ2R6Em7yLEnrHlRvUAvP9XU5V829U5_4yckiOorj2CAN2DPrOdjpus]	 Status: [Existing]
