[Tue Jun 28 12:05:41 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Tue Jun 28 12:05:41 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]
[Tue Jun 28 12:13:44 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 1983e78f341983ec, Platform: android, PUSH ID: dJUmAB7BsE0:APA91bHE5YaVuLFcnAFf_BHbdhKSbBDg3pQKKBypDc2ySJs9gOVGU75JW5eWOM2NNfN_l9ev5DYrFD_4mAkguBJeuJU8SV7pu5TYlCtLAerVwr41coKaF7lEeYH_Cc84KNizHXB9plbm]	 Status: [Success]
[Tue Jun 28 12:16:18 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Tue Jun 28 12:20:48 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: c6FVBvkzn_Y:APA91bGpZfFJtcmcdwkRYMeYyNy7mTp5iLW9s3T8g9qg7L2YIREYUd4usPSMUUC46GFbmapQmkfeN7UyF5kIppJt4by0oABHoTBk7sdJGzEWVduWPcnXeBiE3M7tW0kAYi2rGPh9XuBY]	 Status: [Existing]
[Tue Jun 28 13:19:20 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 1983e78f341983ec, Platform: android, PUSH ID: dJUmAB7BsE0:APA91bHE5YaVuLFcnAFf_BHbdhKSbBDg3pQKKBypDc2ySJs9gOVGU75JW5eWOM2NNfN_l9ev5DYrFD_4mAkguBJeuJU8SV7pu5TYlCtLAerVwr41coKaF7lEeYH_Cc84KNizHXB9plbm]	 Status: [Existing]
[Tue Jun 28 13:20:41 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 1983e78f341983ec, Platform: android, PUSH ID: dJUmAB7BsE0:APA91bHE5YaVuLFcnAFf_BHbdhKSbBDg3pQKKBypDc2ySJs9gOVGU75JW5eWOM2NNfN_l9ev5DYrFD_4mAkguBJeuJU8SV7pu5TYlCtLAerVwr41coKaF7lEeYH_Cc84KNizHXB9plbm]	 Status: [Existing]
[Tue Jun 28 16:52:50 2016]	[client: 112.198.83.184] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Tue Jun 28 16:52:51 2016]	[client: 112.198.83.184] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Tue Jun 28 16:53:17 2016]	[client: 203.87.156.82] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Tue Jun 28 16:53:18 2016]	[client: 203.87.156.82] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Tue Jun 28 16:53:26 2016]	[client: 203.87.156.82] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Tue Jun 28 16:53:26 2016]	[client: 203.87.156.82] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]
[Tue Jun 28 20:45:25 2016]	[client: 112.209.72.38] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
[Tue Jun 28 20:45:26 2016]	[client: 112.209.72.38] [file: core.class.php] - [Device ID: 9E146F02-AF85-45B0-B626-57B324C77145, Platform: ios, PUSH ID: lgV7S2XHXaA:APA91bE5MDb45_fwAuk_RTDdd5uGWZBTOsz0kmJqUYINgvM3Lh7nqhQr_55M-CSwINipGd4SrSpEoGRUnPqX9olQHczWWQwmskZiPCQXJdNKOU9S396EECd5s6yh86Xkh_LxjFuhnlP9]	 Status: [Existing]
